"rules","support","confidence","lift","count"
"{±¬³´Öí¸Î,Á¹°è²¤²Ë,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.705882352941177,5.88025210084034,12
"{¶ç½·ÓãÍ·,Íã¶¹Êí×ÐÖí¹ÇÌÀ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.909090909090909,7.57305194805195,10
"{¶ç½·ÓãÍ·,ìËÖíÊÖ,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0139335476956056,0.722222222222222,6.01636904761905,13
"{¶ç½·ÓãÍ·,À±³´öÏÓã,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.733333333333333,6.10892857142857,11
"{¶ç½·ÓãÍ·,Á¹°è²¤²Ë,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.015005359056806,0.7,5.83125,14
"{Á¹°è²¤²Ë,ÃÀÃî¾øÂ×Ö®°×Á«»¨,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.666666666666667,5.55357142857143,10
"{ìËÖíÊÖ,Íã¶¹Êí×ÐÖí¹ÇÌÀ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0192926045016077,0.75,6.24776785714286,18
"{À±³´öÏÓã,Íã¶¹Êí×ÐÖí¹ÇÌÀ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.785714285714286,6.5452806122449,11
"{Á¹°è²¤²Ë,Íã¶¹Êí×ÐÖí¹ÇÌÀ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0171489817792069,0.888888888888889,7.4047619047619,16
"{ìËÖíÊÖ,ÃÉ¹Å¿¾ÑòÍÈ ,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.526315789473684,4.3843984962406,10
"{À±³´öÏÓã,ÃÉ¹Å¿¾ÑòÍÈ ,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.526315789473684,4.3843984962406,10
"{ìËÖíÊÖ,Íã¶¹Êí×ÐÖí¹ÇÌÀ,ÏãËÖÁ½³Ô´óÏº} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,0.6875,5.72712053571429,11
"{À±³´öÏÓã,ìËÖíÊÖ,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.015005359056806,0.636363636363636,5.30113636363636,14
"{Á¹°è²¤²Ë,ìËÖíÊÖ,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.0203644158628081,0.633333333333333,5.27589285714286,19
"{À±³´öÏÓã,Á¹°è²¤²Ë,Íã¶¹Êí×ÐÖí¹ÇÌÀ} => {ÇÛ²Ë³´Ñü»¨}",0.015005359056806,0.518518518518518,4.31944444444444,14
"{½ª´Ð³´»¨Ð·,ìËÖíÊÖ,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.833333333333333,6.94196428571429,10
"{½ª´Ð³´»¨Ð·,À±³´öÏÓã,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.714285714285714,5.95025510204082,10
"{½ª´Ð³´»¨Ð·,Á¹°è²¤²Ë,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.714285714285714,5.95025510204082,10
"{½ª´Ð³´»¨Ð·,ìËÖíÊÖ,ÃÉ¹Å¿¾ÑòÍÈ } => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.588235294117647,4.90021008403361,10
"{½ª´Ð³´»¨Ð·,À±³´öÏÓã,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.588235294117647,4.90021008403361,10
"{½ª´Ð³´»¨Ð·,Á¹°è²¤²Ë,ìËÖíÊÖ} => {ÇÛ²Ë³´Ñü»¨}",0.0128617363344051,0.6,4.99821428571429,12
"{°×ºú½·ºúÂÜ²·ÑòÈâÌÀ,À±³´öÏÓã,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0117899249732047,1,8.33035714285714,11
"{°×ºú½·ºúÂÜ²·ÑòÈâÌÀ,Á¹°è²¤²Ë,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0107181136120043,0.833333333333333,6.94196428571429,10
"{ìËÖíÊÖ,ìÁ³´´ó°×²Ë,×ÔÖÆÖíÈâ¸¬} => {ÇÛ²Ë³´Ñü»¨}",0.0139335476956056,0.764705882352941,6.3702731092437,13
